,County,ID
0,Abbeville,299
1,Acadia,84
2,Accomack,218
3,Ada,4281
4,Adair,189
5,Adams,5055
6,Addison,22
7,Aiken,2645
8,Aitkin,411
9,Alachua,2409
10,Alamance,493
11,Alameda,38997
12,Alamosa,6
13,Albany,4571
14,Albemarle,1818
15,Alcona,5
16,Alcorn,5
17,Alexander,56
18,Alexandria,1540
19,Alexandria City,9
20,Alger,1
21,Allamakee,15
22,Allegan,432
23,Allegany,406
24,Alleghany,253
25,Allegheny,5875
26,Allen,608
27,Allendale,99
28,Alpena,24
29,Alpine,270
30,Amador,1402
31,Amelia,143
32,Amherst,144
33,Amite,7
34,Anderson,4556
35,Andrew,7
36,Andrews,2
37,Androscoggin,87
38,Angelina,13
39,Anne Arundel,5298
40,Anoka,3548
41,Anson,52
42,Antelope,8
43,Antrim,8
44,Apache,518
45,Appanoose,26
46,Appling,17
47,Appomattox,51
48,Arapahoe,1683
49,Archer,9
50,Archuleta,8
51,Arenac,31
52,Arkansas,18
53,Arlington,2878
54,Armstrong,128
55,Aroostook,35
56,Ascension,216
57,Ashe,37
58,Ashland,51
59,Ashley,38
60,Ashtabula,50
61,Asotin,5
62,Assumption,2
63,Atascosa,21
64,Atchison,12
65,Athens,25
66,Atkinson,13
67,Atlantic,1130
68,Atoka,1
69,Attala,1
70,Audrain,2
71,Audubon,6
72,Auglaize,40
73,Augusta,1893
74,Aurora,2
75,Austin,17
76,Autauga,249
77,Avery,17
78,Avoyelles,2
79,Baca,49
80,Bacon,17
81,Bailey,1
82,Baker,3116
83,Baldwin,891
84,Ballard,2
85,Baltimore,203
86,Baltimore City,3938
87,Baltimore County,10246
88,Bamberg,183
89,Banks,117
90,Banner,5
91,Bannock,237
92,Baraga,6
93,Barbour,28
94,Barnes,110
95,Barnstable,96
96,Barnwell,239
97,Barren,9
98,Barron,22
99,Barrow,151
100,Barry,79
101,Bartholomew,253
102,Barton,2
103,Bartow,359
104,Bastrop,40
105,Bates,2
106,Bath,28
107,Baxter,10
108,Bay,1836
109,Bayfield,10
110,Baylor,2
111,Beadle,11
112,Bear Lake,16
113,Beaufort,1507
114,Beauregard,4
115,Beaver,684
116,Beaverhead,160
117,Becker,457
118,Beckham,10
119,Bedford,987
120,Bedford County,330
121,Belknap,145
122,Bell,76
123,Belmont,103
124,Beltrami,541
125,Ben Hill,9
126,Benewah,31
127,Bennington,26
128,Benson,12
129,Bent,26
130,Benton,2167
131,Benzie,29
132,Bergen,6790
133,Berkeley,3797
134,Berks,1961
135,Berkshire,44
136,Bernalillo,992
137,Berrien,557
138,Bertie,37
139,Bexar,6927
140,Bibb,475
141,Bienville,21
142,Big Horn,243
143,Big Stone,2
144,Billings,25
145,Bingham,180
146,Black Hawk,148
147,Bladen,108
148,Blaine,57
149,Blair,1557
150,Blanco,11
151,Bland,277
152,Bleckley,33
153,Bledsoe,23
154,Blount,501
155,Blue Earth,1304
156,Boise,52
157,Bolivar,4
158,Bon Homme,1
159,Bond,23
160,Bonner,71
161,Bonneville,219
162,Boone,1419
163,Bossier,303
164,Botetourt,1024
165,Bottineau,7
166,Boulder,390
167,Boundary,31
168,Bourbon,9
169,Bowie,12
170,Bowman,8
171,Box Butte,2
172,Box Elder,1495
173,Boyd,18
174,Boyle,5
175,Bracken,6
176,Bradford,321
177,Bradley,411
178,Branch,21
179,Brantley,12
180,Braxton,154
181,Brazoria,410
182,Brazos,24
183,Breathitt,6
184,Breckinridge,2
185,Bremer,29
186,Brevard,5273
187,Bristol,650
188,Broadwater,150
189,Bronx,9461
190,Brooke,9
191,Brookings,3
192,Brooks,39
193,Broome,540
194,Broomfield,222
195,Broward,21217
196,Brown,422
197,Brule,10
198,Brunswick,691
199,Bryan,166
200,Buchanan,162
201,Buckingham,77
202,Bucks,1935
203,Buena Vista,37
204,Buena Vista City,1
205,Buffalo,35
206,Bullitt,182
207,Bulloch,125
208,Bullock,33
209,Buncombe,2160
210,Bureau,19
211,Burke,300
212,Burleigh,128
213,Burlington,3127
214,Burnet,20
215,Burnett,9
216,Burt,15
217,Butler,584
218,Butte,3565
