,fips,name,state,Unnamed: 0,State,Population,Crash
0,01001,Autauga,AL,0,Alabama,54632,249
1,01003,Baldwin,AL,1,Alabama,183195,891
2,01005,Barbour,AL,3,Alabama,27411,28
3,01007,Bibb,AL,5,Alabama,22867,475
4,01009,Blount,AL,7,Alabama,57338,501
5,01011,Bullock,AL,9,Alabama,10890,33
6,01013,Butler,AL,10,Alabama,20951,584
7,01015,Calhoun,AL,18,Alabama,118510,1437
8,01017,Chambers,AL,29,Alabama,34157,71
9,01019,Cherokee,AL,31,Alabama,25991,1877
10,01021,Chilton,AL,39,Alabama,43682,737
11,01023,Choctaw,AL,40,Alabama,13820,15
12,01025,Clarke,AL,43,Alabama,25763,354
13,01027,Clay,AL,48,Alabama,13897,4290
14,01029,Cleburne,AL,66,Alabama,14988,174
15,01031,Coffee,AL,68,Alabama,50104,247
16,01033,Colbert,AL,71,Alabama,54433,34
17,01035,Conecuh,AL,72,Alabama,13202,79
18,01037,Coosa,AL,73,Alabama,11556,18
19,01039,Covington,AL,74,Alabama,37776,56
20,01041,Crenshaw,AL,76,Alabama,13857,8
21,01043,Cullman,AL,77,Alabama,80459,211
22,01045,Dale,AL,78,Alabama,50358,49
23,01047,Dallas,AL,79,Alabama,43790,50050
24,01049,DeKalb,AL,84,Alabama,71151,6626
25,01051,Elmore,AL,90,Alabama,79549,515
26,01053,Escambia,AL,92,Alabama,38292,6927
27,01055,Etowah,AL,94,Alabama,104462,41
28,01057,Fayette,AL,95,Alabama,17219,1303
29,01059,Franklin,AL,106,Alabama,31729,6111
30,01061,Geneva,AL,131,Alabama,26815,20
31,01063,Greene,AL,132,Alabama,8987,5767
32,01065,Hale,AL,146,Alabama,15708,25
33,01067,Henry,AL,148,Alabama,17307,1641
34,01069,Houston,AL,158,Alabama,101888,681
35,01071,Jackson,AL,163,Alabama,53128,20832
36,01073,Jefferson,AL,187,Alabama,658555,15912
37,01075,Lamar,AL,213,Alabama,14508,359
38,01077,Lauderdale,AL,217,Alabama,92679,79
39,01079,Lawrence,AL,220,Alabama,34342,716
40,01081,Lee,AL,231,Alabama,140780,13641
41,01083,Limestone,AL,243,Alabama,83193,383
42,01085,Lowndes,AL,245,Alabama,11259,371
43,01087,Macon,AL,248,Alabama,21540,236
44,01089,Madison,AL,254,Alabama,335988,3938
45,01091,Marengo,AL,274,Alabama,20975,14
46,01093,Marion,AL,275,Alabama,30770,22437
47,01095,Marshall,AL,292,Alabama,93235,281
48,01097,Mobile,AL,304,Alabama,413277,1939
49,01099,Monroe,AL,305,Alabama,22994,13231
50,01101,Montgomery,AL,322,Alabama,229844,41476
51,01103,Morgan,AL,340,Alabama,119626,1267
52,01105,Perry,AL,351,Alabama,10556,514
53,01107,Pickens,AL,361,Alabama,19705,1547
54,01109,Pike,AL,364,Alabama,32957,660
55,01111,Randolph,AL,374,Alabama,22916,422
56,01113,Russell,AL,382,Alabama,53188,110
57,01115,St. Clair,AL,386,Alabama,83761,868
58,01117,Shelby,AL,390,Alabama,195828,5567
59,01119,Sumter,AL,399,Alabama,13744,2797
60,01121,Talladega,AL,403,Alabama,82110,149
61,01123,Tallapoosa,AL,404,Alabama,41516,30
62,01125,Tuscaloosa,AL,405,Alabama,195036,2441
63,01127,Walker,AL,406,Alabama,66947,283
64,01129,Washington,AL,409,Alabama,17597,16889
65,01131,Wilcox,AL,440,Alabama,11615,16
66,01133,Winston,AL,442,Alabama,24395,12
67,04001,Apache,AZ,444,Arizona,71676,518
68,04003,Cochise,AZ,445,Arizona,131789,215
69,04005,Coconino,AZ,446,Arizona,134651,1371
70,04007,Gila,AZ,447,Arizona,53569,623
71,04009,Graham,AZ,448,Arizona,37110,110
72,04011,Greenlee,AZ,451,Arizona,8353,45
73,04012,La Paz,AZ,452,Arizona,20458,469
74,04013,Maricopa,AZ,453,Arizona,3827371,33539
75,04015,Mohave,AZ,454,Arizona,200181,1262
76,04017,Navajo,AZ,455,Arizona,107551,511
77,04019,Pima,AZ,456,Arizona,982154,14190
78,04021,Pinal,AZ,457,Arizona,383842,1420
79,04023,Santa Cruz,AZ,458,Arizona,47462,6780
80,04025,Yavapai,AZ,460,Arizona,211061,1988
81,04027,Yuma,AZ,461,Arizona,196509,251
82,05001,Arkansas,AR,463,Arkansas,18978,18
83,05003,Ashley,AR,464,Arkansas,21832,38
84,05005,Baxter,AR,465,Arkansas,41503,10
85,05007,Benton,AR,466,Arkansas,222894,2167
86,05009,Boone,AR,475,Arkansas,36918,1419
87,05011,Bradley,AR,483,Arkansas,11496,411
88,05013,Calhoun,AR,19,Arkansas,5342,1437
89,05015,Carroll,AR,485,Arkansas,27562,1779
90,05017,Chicot,AR,498,Arkansas,11782,50
91,05019,Clark,AR,499,Arkansas,22979,4581
92,05021,Clay,AR,49,Arkansas,16077,4290
93,05023,Cleburne,AR,67,Arkansas,25991,174
94,05025,Cleveland,AR,511,Arkansas,8695,440
95,05027,Columbia,AR,514,Arkansas,24511,4605
96,05029,Conway,AR,522,Arkansas,21266,181
97,05031,Craighead,AR,523,Arkansas,96771,188
98,05033,Crawford,AR,524,Arkansas,62026,446
99,05035,Crittenden,AR,535,Arkansas,50937,564
100,05037,Cross,AR,537,Arkansas,17851,6
101,05039,Dallas,AR,80,Arkansas,8086,50050
102,05041,Desha,AR,538,Arkansas,12979,20
103,05043,Drew,AR,539,Arkansas,18515,34
104,05045,Faulkner,AR,540,Arkansas,113980,245
105,05047,Franklin,AR,107,Arkansas,18116,6111
106,05049,Fulton,AR,541,Arkansas,12229,12416
107,05051,Garland,AR,549,Arkansas,96145,134
108,05053,Grant,AR,550,Arkansas,17889,1661
109,05055,Greene,AR,133,Arkansas,42192,5767
110,05057,Hempstead,AR,565,Arkansas,22620,79
111,05059,Hot Spring,AR,566,Arkansas,32943,211
112,05061,Howard,AR,567,Arkansas,13820,2858
113,05063,Independence,AR,574,Arkansas,36738,57
114,05065,Izard,AR,575,Arkansas,13683,4
115,05067,Jackson,AR,164,Arkansas,17974,20832
116,05069,Jefferson,AR,188,Arkansas,77358,15912
117,05071,Johnson,AR,576,Arkansas,25585,6391
118,05073,Lafayette,AR,588,Arkansas,7637,411
119,05075,Lawrence,AR,221,Arkansas,17424,716
120,05077,Lee,AR,232,Arkansas,10412,13641
121,05079,Lincoln,AR,594,Arkansas,14104,3393
122,05081,Little River,AR,618,Arkansas,13143,6
123,05083,Logan,AR,619,Arkansas,22325,215
124,05085,Lonoke,AR,629,Arkansas,68634,414
125,05087,Madison,AR,255,Arkansas,15735,3938
126,05089,Marion,AR,276,Arkansas,16624,22437
127,05091,Miller,AR,630,Arkansas,43529,142
128,05093,Mississippi,AR,633,Arkansas,46349,156
129,05095,Monroe,AR,306,Arkansas,8099,13231
130,05097,Montgomery,AR,323,Arkansas,9472,41476
131,05099,Nevada,AR,635,Arkansas,8976,3841
132,05101,Newton,AR,637,Arkansas,8334,405
133,05103,Ouachita,AR,643,Arkansas,26134,127
134,05105,Perry,AR,352,Arkansas,10441,514
135,05107,Phillips,AR,645,Arkansas,21655,49
