,0
12-16,3066.6666666666665
10-04,1491.1666666666667
11-29,2876.75
12-15,2906.8333333333335
10-14,1875.8333333333333
09-06,1347.8
11-30,3289.5
12-02,2109.0
10-11,1672.0
12-06,2571.3333333333335
11-22,1843.1666666666667
10-05,1659.3333333333333
12-01,2196.1666666666665
09-08,1327.3333333333333
11-04,2328.3333333333335
09-09,1458.6666666666667
11-18,2209.8333333333335
12-14,3013.8333333333335
10-07,1695.1666666666667
09-01,1618.0
09-14,1488.8333333333333
09-27,1830.1666666666667
09-23,1832.3333333333333
11-23,2147.1666666666665
09-07,1263.8333333333333
12-13,2766.6666666666665
11-08,2303.6666666666665
12-09,2978.1666666666665
10-03,922.1666666666666
10-21,2241.3333333333335
09-28,1728.1666666666667
11-07,2031.3333333333333
08-05,1043.1666666666667
12-22,3021.3333333333335
10-12,1614.5
10-17,1741.1666666666667
12-05,1533.5
10-19,1952.6666666666667
12-12,2496.3333333333335
10-26,1994.8333333333333
07-19,1234.8
12-07,2702.5
07-29,1041.1666666666667
11-28,1502.5
10-13,1667.8333333333333
11-15,1957.3333333333333
09-15,1503.1666666666667
06-27,1146.1666666666667
12-19,2401.5
12-23,3849.8333333333335
09-02,1119.0
11-21,1677.0
12-08,2787.0
09-30,1534.6666666666667
12-21,2701.5
11-17,2020.0
11-03,2167.0
07-22,1066.5
08-09,439.8
10-20,1990.5
06-22,1366.1666666666667
07-26,1256.4
06-24,1381.6666666666667
09-13,1646.0
11-01,1876.6666666666667
08-08,894.0
07-28,933.1666666666666
06-23,1383.8333333333333
10-25,2159.6666666666665
08-26,1296.0
10-18,1901.8333333333333
09-12,1384.6666666666667
09-26,1487.1666666666667
11-02,2139.8333333333335
06-30,1316.8
09-29,1656.0
11-14,1598.0
08-30,1846.4
06-28,1259.8333333333333
12-20,2608.6666666666665
08-31,1565.8
11-09,2129.0
08-29,1261.6
08-12,1063.0
08-23,1304.8
08-01,911.1666666666666
08-24,1138.8
08-16,1085.8333333333333
08-18,821.0
08-10,1154.6
07-08,1241.4
07-25,1049.4
08-19,1129.6666666666667
07-21,975.1666666666666
06-29,1236.8333333333333
08-17,350.8
08-02,1073.5
07-06,1145.4
07-27,885.6666666666666
11-10,2195.1666666666665
08-11,1242.6
08-25,972.3333333333334
08-22,1081.4
07-20,1004.8
11-16,2021.8333333333333
07-07,1221.2
10-24,1860.5
08-15,880.1666666666666
07-05,1062.6
11-11,2328.0
12-30,3137.6666666666665
10-31,1658.8333333333333
07-18,1042.2
10-06,1585.6666666666667
08-04,1131.6
12-29,2619.8333333333335
07-11,1006.6
10-27,1917.5
07-14,333.2
07-13,504.8
06-21,1210.3333333333333
05-18,1058.3333333333333
05-26,1271.5
07-12,1190.2
12-27,2513.1666666666665
05-24,1117.8333333333333
12-28,2728.5
10-10,1455.3333333333333
05-27,1122.6666666666667
05-20,1099.0
05-25,1036.1666666666667
07-01,1105.8333333333333
08-03,958.0
05-23,984.0
06-17,1355.5
04-22,1064.8333333333333
04-07,1076.0
05-31,930.1666666666666
05-19,1056.6666666666667
04-01,975.0
11-25,1343.1666666666667
05-12,810.5
06-07,1082.3333333333333
06-01,1202.1666666666667
09-05,1057.5
04-05,988.5
03-29,835.0
03-24,953.8333333333334
06-08,1227.3333333333333
07-04,769.6
06-06,1009.3333333333334
04-18,840.6666666666666
05-11,838.0
04-26,884.1666666666666
04-12,883.0
05-10,861.1666666666666
04-29,591.5
04-14,953.0
05-03,923.1666666666666
04-20,999.1666666666666
05-17,707.8333333333334
04-21,893.0
12-17,3217.1666666666665
03-30,929.3333333333334
06-03,1306.5
04-04,824.0
04-13,1001.0
03-23,1050.6666666666667
04-27,938.5
04-06,1246.8333333333333
09-16,1558.3333333333333
04-19,875.8333333333334
